label,message
ham,"Hey, are we still meeting at 4 pm near the library?"
ham,"Please find the assignment rubric attached. Submit before Friday."
ham,"Your electricity bill for August is ready to view in your account."
ham,"Can you call me when you reach home?"
ham,"The team meeting has moved to Tuesday morning."
ham,"Thank you for your order. Your receipt number is 18492."
ham,"Dad is picking us up from the station at six."
ham,"Reminder: your dentist appointment is tomorrow at 10:30 am."
ham,"I shared the project folder with you. Let me know if access does not work."
ham,"Your one-time verification code is 482913. Do not share it with anyone."
ham,"Happy birthday! Hope you have a wonderful day."
ham,"The professor uploaded the lecture slides to the course portal."
ham,"Could you send me the notes from today's class?"
ham,"Your bank statement is available in the official mobile app."
ham,"Lunch at the campus cafe around 1?"
ham,"We received your support request and will respond within two business days."
ham,"The train is running ten minutes late this evening."
ham,"Please review the draft and add your comments by Wednesday."
ham,"Your parcel will be delivered between 2 pm and 5 pm today."
ham,"I will bring the charger tomorrow."
ham,"The library book is due next week. You can renew it online."
ham,"Your subscription has been renewed successfully."
ham,"Thanks for helping with the presentation yesterday."
ham,"The workshop registration is confirmed for Saturday."
ham,"Your food delivery is on the way and should arrive in thirty minutes."
ham,"Please update the document with the latest meeting notes."
ham,"The bank app will be unavailable for planned maintenance tonight."
ham,"I have attached the invoice for the books we ordered last month."
ham,"Your mobile plan payment was received successfully."
ham,"Can you reserve a study room for our group project?"
ham,"The office will be closed on the public holiday next week."
ham,"Please confirm that you received the package safely."
ham,"The class test has been postponed because of the rain."
ham,"Your account profile was updated through the official mobile app."
ham,"The doctor confirmed my appointment for Friday afternoon."
ham,"We need to buy printer paper for the lab before tomorrow."
ham,"The store has processed your return and your refund will appear soon."
ham,"I sent the video call link to everyone in the team."
ham,"Your ticket booking is confirmed. Keep this receipt for travel."
ham,"Please collect your identity card from the department office."
ham,"The courier attempted delivery while nobody was at home."
ham,"I will pay you back after I receive my salary tomorrow."
ham,"The teacher asked us to submit the notebook by Monday."
ham,"Your internet service will be restored after scheduled maintenance."
ham,"Please read the terms of the scholarship before submitting the application."
ham,"The cafeteria menu includes a new vegetarian lunch option today."
ham,"The project supervisor approved our proposal with minor changes."
ham,"Your flight check-in opens twenty four hours before departure."
spam,"Congratulations! You won a free smartphone. Click the link now to claim your prize."
spam,"URGENT: Your account will be suspended. Verify your password immediately at this link."
spam,"You have been selected for a cash reward of 50000. Reply WIN to collect it today."
spam,"Earn money from home with no experience. Join our secret program now!"
spam,"Claim your exclusive lottery prize before midnight. Limited time offer."
spam,"Dear customer, update your bank details now to avoid account closure."
spam,"You are our lucky winner! Send your card number to receive a free gift."
spam,"Lowest prices on medicines without prescription. Order instantly."
spam,"Act now! Get a guaranteed loan approved in five minutes."
spam,"Free vacation voucher waiting for you. Click here to activate."
spam,"You have an unclaimed refund. Open this urgent link and confirm your details."
spam,"Congratulations, you qualify for a special investment that doubles money quickly."
spam,"Final notice: pay the small processing fee to release your reward."
spam,"Make 1000 per day online. No work required. Register today."
spam,"Winner alert! Reply YES and receive your shopping coupon."
spam,"Your mailbox storage is full. Sign in now to prevent deletion of all emails."
spam,"Exclusive offer: free gift card for the first 100 people."
spam,"A stranger sent you a secret photo. Open the attachment immediately."
spam,"Your tax refund is ready. Confirm your account number to get paid."
spam,"You have been pre-approved for a credit card. Apply now with this link."
spam,"This is your last chance to claim a free bonus."
spam,"We noticed unusual activity. Enter your login details to secure your account."
spam,"Congratulations! Tap this link to collect a prize worth 10000."
spam,"Buy miracle weight loss pills at an unbelievable discount today only."
spam,"Your reward points will expire soon. Click this unknown link to claim cash."
spam,"Special offer: get a free laptop when you pay a tiny delivery fee."
spam,"Urgent action required. Verify your account credentials or lose access now."
spam,"Congratulations winner, claim your instant cash bonus before the offer expires."
spam,"Work just one hour daily and receive guaranteed income every week."
spam,"Your payment failed. Send your card details immediately to avoid a penalty."
spam,"Free medicine samples available now. Order from this secret website."
spam,"You were chosen for a luxury holiday prize. Reply immediately to receive it."
spam,"Click to unlock a limited time discount and free gift card."
spam,"We have a confidential business proposal that will make you rich quickly."
spam,"Alert: your online account needs verification. Enter your password at this link."
spam,"Receive a cash loan today with no documents and no credit check."
spam,"Lucky customer! You can win a brand new car by opening this message."
spam,"A free shopping coupon is waiting. Claim it before midnight tonight."
spam,"Exclusive investment opportunity promises huge returns with zero risk."
spam,"Your computer is infected. Call this number now and pay for urgent support."
spam,"You have inherited millions from a distant relative. Send your details now."
spam,"Get rich with cryptocurrency tips. Join our private group today."
spam,"Final warning: confirm your login to prevent permanent account closure."
spam,"Claim a free trial now, then invite friends to receive a bonus reward."
spam,"Limited offer for selected users: click now for instant prize money."
spam,"Your parcel contains a reward. Pay the fee at this link to release it."
spam,"Win cash every day. Text WINNER to this number immediately."
